,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped,snapshot_in_window
35263,"Applied General Intelligence, Inc.",2020-09-01,https://www.agi.live,"Austin, Texas, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing",361691.0,"We set out to solve the world’s most critical challenges. The first problem we have successfully solved: the world’s first Artificial Super-Intelligence via universal language understanding. Fundamentally different from existing AI’s inherent limitations, AGI’s coherence-based intelligence is built to comprehend just like a real human.",11-50,0.0,,,0.0,,0.0,2.0,11-50,Private,,,,,,6,3,2020,32065,False,False
35340,Talent Service,2021-12-03,https://talentservice.com/,"San Francisco, California, United States","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Human Resources, Recruiting",362934.0,"TalentService is an automated recruitment platform that disrupts hiring agencies. We provide verified, highly skilled IT professionals 5 times cheaper than hiring agencies. We use Ai-powered recommendations, automated skills assessment, and a broad pool of talents from around the globe to deliver companies a quick and smooth hiring experience. Talent Service also helps recruiters from all over the world by publishing referral jobs with the opportunity to be rewarded for matching talent. We are open to partnerships and integrations!",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,2,2021,32136,False,False
35354,Analytics-model,2020-12-01,https://www.analytics-model.com/,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Data Visualization, Machine Learning, Software",363180.0,,11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,3,2020,32148,False,False
35448,Evolution Analytics,2021-01-01,https://www.evolutionanalytics.com,"Oak Brook, Illinois, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Consulting, Data Management, Information Technology, Machine Learning",364989.0,"Evolution Analytics is a data and analytics consulting firm dedicated to empowering your organization through data analytics consulting services, data strategy consulting, data science consulting, and AI-driven decision automation solutions. Our elite team of data and analytics consultants go beyond merely solving problems. We explore and unleash transformative opportunities that elevate your business. From data strategy, data governance, and master data management to data science, AI consulting, and analytics-as-a-service, we offer a full suite of services to propel your business forward.",11-50,0.0,,,0.0,,0.0,,11-50,Private,,,,,,6,3,2021,32227,False,False
35475,Market Makers Method,2019-03-27,https://marketmakersmethod.com/,"Miami, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence (AI), Finance, Machine Learning, SaaS, Software",365451.0,Dashboard© by MMM is an Intelligent AI-Powered Trading Software.,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,4,2019,32247,False,False
35484,Axalio,2022-01-18,https://www.axalio.com,"Houston, Texas, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Financial Services, FinTech",365573.0,"Built with Africans in mind, Axalio is a FinTech platform based on Blockchain, and AI, to advance the Sustainable Development Goals of financial inclusion, positioned as an enabler of other developmental goals, in Africa and the world. We aim to tap into the world’s $380B market size of the underserved and unbanked, to build a bridge between traditional and digital assets and unlock resources out of Africa and create a world where everyone can create wealth.",1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,2,2022,32255,False,False
35489,iAllo.io,2021-01-01,https://iallo.io/,"Los Angeles, California, United States","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, SaaS, Software, Telecommunications",365662.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,32260,False,False
35528,SYBARIP Inc.,2019-09-26,https://www.sybarip.com/,"Tenafly, New Jersey, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",366548.0,"SYBARIP develops an AI-backed SaaS platform for IP managers. It delivers the benefits of artificial intelligence to the IP and innovation lifecycle, utilising its unique ability to gather and analyse global IP data and deliver insights that provide decision support for day-to-day patent management as well as a framework to align IP and business strategies.",1-10,2.0,Seed,2021-01-01,0.0,Seed,0.0,2.0,1-10,Private,,,0.0,1.0,,2,4,2019,32294,False,False
35550,PRIMO AI,2018-09-01,http://voiceprimo.com,"New York, New York, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Software",366884.0,"PRIMO AI is a patented voice technology optimization solution which aggregates the top voice technologies in both STT and NLP globally in order to simultaneously search, collect, and rank the results. This is done in order to deliver the most optimal STT and NLP service for each particular data and customer set, which can then be recommended as the best overall service, down to the best service for each zip code, allowing companies to optimize their voice applications without the need for data scientists or additional training.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2018,32313,False,False
35561,Optiwisdom,2018-12-01,http://www.optiwisdom.com,"San Francisco, California, United States","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Professional Services, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Consulting, CRM, Enterprise Software, FinTech, Machine Learning, Software",367015.0,"Optiwisdom is an AI-based software development company. It created Auto ML engines Optiscorer, Optimatcher, and Optisegment in order to make machine learning available to all companies without the need of a data scientist. Optiwisdom focuses on developing software for industry specific solutions based on these engines namely Collectwiser and Optifraud. Collectwiser is a debt collection tool that predicts who are more likely to pay and optimizes the time and the reach method to debtors with the best payment offers and Optifraud is a tool that identifies and prevents financial fraud.",11-50,0.0,,,0.0,,0.0,1.0,11-50,Private,,,,,,6,5,2018,32323,False,False
35600,Codex Energy,2021-11-01,https://www.codexenergy.com/,"Austin, Texas, United States","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Energy, Financial Services, Hardware, Information Technology, Natural Resources, Other, Payments, Science and Engineering, Software","Artificial Intelligence (AI), Bitcoin, Blockchain, Data Center, Data Mining, Energy, Infrastructure, Machine Learning, Oil and Gas",367664.0,"Codex Energy designs, builds and operates high-performance computing (HPC) datacenters powered by stranded energy. Our systems use natural gas production from oil wells to power energy-intensive computing applications such as bitcoin mining, artificial intelligence, and machine learning.",1-10,1.0,Seed,2022-01-20,0.0,Pre-Seed,0.0,2.0,1-10,Private,,,,,,2,2,2021,32357,False,False
35614,Synaptic Intelligence,2020-03-02,https://www.synaptic-ai.com,"Palo Alto, California, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Predictive Analytics",368004.0,"Synaptic is an innovative artificial intelligence company. Founded in 2020, Synaptic's mission includes the development of deep learning technologies and proprietary algorithms related to  predictive analytics, machine-learning, control systems and feedback and natural language processing.  Synaptic helps businesses to understand the behaviors of not only their customers but also of the people, devices, objects, and institutions they interact with. Synaptic can easily understand the patterns they form and then predict future behaviors.",101-250,0.0,,,0.0,,0.0,,101-250,Private,,,,,,6,4,2020,32371,False,False
35652,Bloomag,2021-01-01,https://www.bloomag.com,"San Francisco, California, United States","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","AgTech, Artificial Intelligence (AI), Machine Learning",368788.0,,1-10,0.0,,,0.0,,0.0,1.0,1-10,Private,,,,,,6,3,2021,32404,False,False
35654,Instawrite,2021-01-01,https://instawrite.ai,"San Francisco, California, United States","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Content, Content Marketing, Copywriting, Marketing Automation, Software",368801.0,"Instawrite is an AI writing platform for creating SEO-optimized marketing copy for blogs, essays, Facebook ads, Google Ads, sales emails, and more, to maximize clicks, conversions, and sales.",1-10,1.0,Seed,2022-10-01,0.0,Pre-Seed,0.0,1.0,1-10,Private,,,,,,2,3,2021,32406,False,False
35662,Stingray AI,2019-02-01,http://stingrayai.com,"Atlantic Beach, Florida, United States","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), Machine Learning, SaaS, Software",368909.0,"Stingray AI focuses on a next-generation, enterprise SaaS solution that leverages the power of machine learning and natural language processing to rapidly and automatically extract unstructured data, gain deep insight into patterns and trends hidden inside content, and optimize content for any communication platform or channel.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,5,2019,32412,False,False
35735,Zuzu AI,2020-02-10,https://zuzu.ai,"Middletown, Delaware, United States","Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Sales, Software",370145.0,"Get trusted and verified Knowledge everywhere you work! Hi, I am Zuzu AI, Knowledge Assistant for your Workplace Improve customer experience by delivering information when and where your team needs it. *Improved Customer experience* Boost your customer experience with our AI assistant for teams which provides consistent and accurate answer to customer queries. *Increase Team's productivity* Repetitive questions can eat up your agent’s valuable time. Let an AI assistant help your agents answer customer FAQs and close leads faster. *Improved Customer Satisfaction and Sales Velocity* Zuzu reduces time it takes to respond to customers by upto 65 percent, ultimately improving customer satisfaction and sales velocity. *Trusted and Up-to-date Knowledge for Everyone* Build knowledge-bases based on your product categories. Share team with always updated knowledge, trained over customer data by everyone.",1-10,0.0,,,0.0,,0.0,,1-10,Private,,,,,,6,4,2020,32468,False,False
