,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
371,Xerataus IQX,2022-10-01,https://linktr.ee/xerataus,"Charlotte, North Carolina, United States","Artificial Intelligence, Assistive Technology, Health Care, Intelligent Systems, Medical",1-10,"2,657","Xerataus is a dedicated group of innovators in the Healthcare industry, leveraging Amalgamated Composite Artificial Intelligence to pioneer healthcare technologies. The company integrates composite artificial intelligence. Utilizing synergy with Leighton Avant-Garde Haus, Leighton Avant-Garde Haus executes an avant-garde approach toward design, development, and technologies that offers innovation for healthcare advancements, inventing technologies that could expand the community.","Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",2.0,Seed,2023-09-01,25000000.0,Pre-Seed,50000000.0,Private,,,,,,1,306,False
373,Waymark,2021-01-01,https://www.waymarkcare.com/,"San Francisco, California, United States","Health Care, Hospital",51-100,"2,661",,Health Care,3.0,,2023-10-18,22000000.0,Venture - Series Unknown,87000000.0,Private,,,,,,3,307,False
374,Argyle,2018-12-01,https://www.argyle.com,"New York, New York, United States","Developer APIs, Infrastructure, Insurance, Real Time, Software",101-250,"2,668","Argyle’s payroll connectivity platform offers fast, cost-effective, consumer-permissioned access to the most trusted network for income and employment data. With Argyle, businesses automate verifications and background checks, fund accounts, switch direct deposits, calculate premiums, advance wages, and build more exceptional experiences for their customers. Reliability, scalability, security, and ease of use are the guiding principles behind Argyle’s market-leading technology.","Financial Services, Other, Software",3.0,Early Stage Venture,2022-03-08,55000000.0,Series B,77600000.0,Private,,,0,1.0,,5,308,False
381,Semafor,2022-01-01,https://www.semafor.com,"New York, New York, United States","Internet, Media and Entertainment, News",51-100,"2,681","Launched in October 2022 by veteran media executives Justin B. Smith (Bloomberg, The Atlantic) and Ben Smith (The New York Times, Buzzfeed), Semafor produces nine newsletters, including Flagship, a daily briefing on the world’s most important stories; Principals, a daily insider’s guide to Washington, D.C.; Africa, with news and analysis from across the continent; and Media, delivering must-read stories beyond the headlines every Sunday night. The company also hosts signature live-journalism events including an annual World Economy Summit, The Semafor Media Summit, and Africa Week and produces original video content, including in-depth reportage, newsmaker interviews, cutting-edge A.I. animation and more.","Content and Publishing, Internet Services, Media and Entertainment",2.0,Seed,2023-05-24,19000000.0,Seed,44000000.0,Private,,,,,,2,309,False
383,Sage,2020-01-01,https://www.hellosage.com/,"New York, New York, United States","Apps, Social, Software",1-10,"2,683","Sage is a technology company that provides an operating system that helps to improve the care and quality of life for caregivers and older adults. With Sage, residents can use custom press and voice-activated devices to alert caregivers when they need help or assistance. Sage captures vital data that saves lives, from identifying health anomalies and increasing the level of care to analyzing staff performance. Sage's data platform collects and analyzes data to help facilities make better care decisions for residents while also empowering managers to run facilities more efficiently.","Apps, Community and Lifestyle, Software",2.0,Early Stage Venture,2023-10-25,15000000.0,Series A,24000000.0,Private,,,24,37.0,Computing; Calculating,4,310,False
392,Rapport Therapeutics,2022-01-01,https://www.rapportrx.com,"Boston, Massachusetts, United States","Biotechnology, Health Care, Life Science, Medical",11-50,"2,701","Rapport Therapeutics operates as a clinical-stage biotechnology company, that discovers and develops precision medicines for neurological disorders. Rapport Therapeutics describes relationships that are defined by understanding, communication, teamwork, and trust.","Biotechnology, Health Care, Science and Engineering",2.0,Early Stage Venture,2023-08-23,150000000.0,Series B,250000000.0,Private,,,4,0.0,Organic Chemistry,2,311,False
393,Yurts Technologies Inc,2022-07-01,https://yurts.ai/,"San Francisco, California, United States","Software, Web Development",11-50,"2,703",Yurts is a Generative AI platform that is enterprise-ready. Its mission is to help individuals connect with their finest work. The company is revolutionizing knowledge management and enterprise processes at scale by combining Large Language Models (LLMs) and the practical power of GenAI applications.,Software,3.0,,2023-10-24,18355000.0,Venture - Series Unknown,36705000.0,Private,,,,,,1,312,False
400,Roboflow,2019-01-01,https://roboflow.com/,"Des Moines, Iowa, United States","Artificial Intelligence, Computer Vision, Developer Tools",1-10,"2,713","Roboflow's developer tools enable teams to build computer vision models faster and more accurately.We replace ad-hoc code with production infrastructure, enable versioned datasets to be used in any framework, eliminate common errors that reduce model performance.","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",4.0,Early Stage Venture,2021-09-16,20000000.0,Series A,22240000.0,Private,,,0,2.0,,5,313,False
409,Ampla Technologies,2019-01-01,http://www.getampla.com,"New York, New York, United States","Financial Services, FinTech, Lending, Software",51-100,"2,731","Ampla Technologies is a financial technology company that provides tech-enabled financial solutions to help businesses grow. It provides an all-in-one financing platform that includes a growth capital solution, modern banking services, and data analytics.","Financial Services, Software",4.0,,2023-09-07,258000000.0,Debt Financing,564500000.0,Private,,,0,1.0,,5,314,False
411,Patch Technologies,2020-01-01,https://www.patch.io,"San Francisco, California, United States","Enterprise Software, Environmental Consulting, Renewable Energy, Software",11-50,"2,735","Patch focuses on building infrastructure for a climate-positive economy, starting with an API for carbon removal. The company makes carbon removal as simple as writing a few lines of code. Build sustainable products with ease and put your climate goals on autopilot. It was founded in 2020 and headquartered in San Francisco, California.","Energy, Professional Services, Software, Sustainability",4.0,Early Stage Venture,2022-09-13,55000000.0,Series B,81450000.0,Private,,,,,,4,315,False
414,VedaBio,2021-01-01,https://vedabio.com,"San Diego, California, United States","Biotechnology, Medical",11-50,"2,742",VedaBio innovative platform for near-instant molecular detection of multiplexed analytes delivers best-in-class accuracy without the requirement for target amplification transforming molecular biology.,"Biotechnology, Health Care, Science and Engineering",1.0,Early Stage Venture,2023-10-17,40000000.0,Series A,40000000.0,Private,,,,,,3,316,False
417,Valon Technologies,2019-07-01,https://www.valon.com,"New York, New York, United States","Financial Services, FinTech, Real Estate",101-250,"2,745","Valon Mortgage is a Fannie Mae and Freddie Mac approved, tech-enabled residential mortgage servicer. The company’s mission is to champion homeowners on their financial journey as the partner they trust with their home and their future.","Financial Services, Real Estate",3.0,Early Stage Venture,2021-11-03,43900000.0,Series B,97100000.0,Private,,,,,,4,317,False
421,Sei Labs,2022-01-01,https://www.seinetwork.io,"New York, New York, United States","Blockchain, Cryptocurrency",1-10,"2,752",Sei Labs is a crypto startup.,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2.0,Early Stage Venture,2023-04-11,30000000.0,Series A,35000000.0,Private,,,,,,2,318,False
422,Air Protein,2019-01-01,https://www.airprotein.com,"Pleasanton, California, United States","Biotechnology, Food and Beverage, Food Processing, Nutrition, Sustainability",1-10,"2,754","Air Protein is a startup that aims to develop sustainable protein made from thin air. Using a proprietary probiotic process, Air Protein develops protein-enriched food made from CO2. This new source can be used to make meat-free burgers, protein-enriched pasta, cereals, beverages, and more.","Biotechnology, Food and Beverage, Health Care, Science and Engineering, Sustainability",2.0,,2023-05-19,75000000.0,Venture - Series Unknown,107000000.0,Private,,,7,37.0,"Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes",5,319,False
