,company,Founded Date,website,Headquarters Location,Industry Groups,Industries,CB Rank (Company),Full Description,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Number of Founders,Number of Employees,IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,NA Count,age,founding_year,org_uuid,already_scraped
7110,AdaptMX,2020-01-01,https://www.adaptmx.com/,"Boston, Massachusetts, United States","Advertising, Internet Services, Sales and Marketing","Advertising, Internet",52014.0,"AdaptMX creates enterprise software for brands, agencies, DSPs, SSPs, and publishers in the advertising, digital media, and publishing industries. It has created one of the industry's most diverse datasets of user signals and high impact ad formats. Its intelligence engine generates accurate programmatic data that assists media buyers in making better, more efficient, and statistically proven purchasing decisions.",11-50,1.0,Seed,2021-09-01,12000000.0,Seed,12000000.0,,11-50,Private,,,,,,0,4,2020,6933,True
5665,Candlelit Care,2019-03-01,http://candlelitcare.com,"Charlotte, North Carolina, United States","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Other, Science and Engineering, Software","Artificial Intelligence (AI), Mental Health, Parenting, Psychology, Subscription Service, Therapeutics",43146.0,"Candlelit Care empowers Black women to best understand their struggles and seek the care they need. We leverage clinical research on perinatal mood disorders and AI to enable quicker access to mental health screening and treatment for Black women and women of color trying to conceive, currently pregnant or recovering from labor.  In partnership with birth workers, we help women living in maternity care deserts at risk of stress, depression and anxiety achieve health equity through app-based symptom triage, industry-leading perinatal mental health coaching and education at the point-of-care. Candlelit Care is backed by passionate investors who share in our mission to radically address the Black maternal health crisis in the U.S., including MedTech Color, Springboard Enterprises, CUNY School of Public Health, Cedars Sinai Technology Ventures, Techstars Impact powered by Cox Enterprises. Candlelit Care was founded in 2019 and is headquartered in Charlotte, NC.",1-10,5.0,Seed,2024-01-01,120000.0,Pre-Seed,280000.0,1.0,1-10,Private,,,,,,0,5,2019,5545,True
16350,Joiya,2018-12-30,https://joiya.life,"Alpharetta, Georgia, United States",Health Care,Health Care,121351.0,JOIYA is a wellness company selling CBD-enriched products supported by wellness content for women & their families.,11-50,1.0,Seed,2020-12-31,3900000.0,Seed,3900000.0,1.0,11-50,Private,,,,,,0,5,2018,15618,True
1457,EDJX,2018-09-01,https://edjx.io/,"Raleigh, North Carolina, United States","Content and Publishing, Hardware, Internet Services, Manufacturing, Privacy and Security, Real Estate, Science and Engineering, Software","Cloud Computing, Content Delivery Network, Developer Tools, Enterprise Software, Industrial Automation, Internet, Security, Smart Cities, Software, Telecommunications",20276.0,"EDJX is building the world's largest edge computing platform, an ultra-low latency, decentralized and serverless edge cloud platform that accelerates software development of secure IoT and M2M apps. Content delivery networks (CDN), ojbect storage and DNS.",11-50,6.0,,2022-08-08,11998775.0,Venture - Series Unknown,35763357.0,2.0,11-50,Private,,,18.0,2.0,Computing; Calculating,1,5,2018,1430,True
7252,Prime AI,2019-08-01,https://prime.ai/,"Leesburg, Virginia, United States","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Machine Learning, Software",52841.0,"Every company should have access to world-class data science and AI. Our Platform delivers AI-driven microservices seamlessly to your existing infrastructure for machine learning powered insights faster than any other solution on the market. Our AI engines include forecasting, optimization, prescriptive analytics and automation.",11-50,3.0,Seed,2022-02-04,225000.0,Seed,2102000.0,3.0,11-50,Private,,,,,,0,4,2019,7067,True
6069,Rubber Ducky Labs,2022-07-25,https://www.rubberduckylabs.io,"San Francisco, California, United States","Information Technology, Software","Information Technology, Software",45578.0,,1-10,2.0,Seed,2023-06-22,1500000.0,Seed,2000000.0,2.0,1-10,Private,,,,,,0,1,2022,5930,True
4909,Sherlock,2021-01-01,https://www.sherlock.xyz/,"Miami, Florida, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Enterprise Software, Smart Contracts",38877.0,Sherlock Protocol is an audit marketplace and smart contract coverage protocol built on the Ethereum blockchain. Sherlock Protocol focus on protection of Decentralized Finance (DeFi) users from smart contract exploits with security reviews from top auditors backed by smart contract coverage on the audited contracts.,1-10,1.0,Seed,2022-09-14,4000000.0,Seed,4000000.0,1.0,1-10,Private,,,,,,0,3,2021,4811,True
2690,Tiny Organics,2019-01-01,https://tinyorganics.com/,"New York, New York, United States","Community and Lifestyle, Food and Beverage","Baby, Food and Beverage, Organic Food",26683.0,"Founded in 2020, Tiny Organics is the early childhood nutrition company building a healthier generation of adventurous eaters with vegetable-first foods for babies and toddlers. Tiny meals are 100% organic, with no added sugar or salt, and never more than 5 grams of natural sugars per serving, and carefully crafted to suit baby and toddler developmental milestones. Tiny makes it easy for parents to feed their little ones healthy, nutrient-dense, delicious food, with no prep required and delivered direct to your door. Tiny has been featured in national publications like TechCrunch, The New Yorker, Inc, Mother, Forbes, and garnered investments from thought leaders like Gary Vaynerchuk, Howard Morgan (Founder of First Round Capital) and Liz Lange.",11-50,2.0,Early Stage Venture,2021-06-23,11000000.0,Series A,13500000.0,2.0,11-50,Private,,,0.0,3.0,,0,5,2019,2638,True
3860,Oda,2019-01-01,https://studio.odaportal.com,"Los Angeles, California, United States","Financial Services, Real Estate, Sales and Marketing, Software","Developer APIs, Marketing Automation, Real Estate, Real Estate Investment",33051.0,"Oda aggregates real estate data from listing services and government records into a unified API. They assess images for their technical and aesthetic qualities using ML models photos. It introduces an unprecedented level of photo editing and management capabilities through a set of powerful, user-friendly, and globally accessible image enhancement and classification tools.",1-10,5.0,Seed,2021-12-07,2800000.0,Seed,5405000.0,4.0,1-10,Private,,,,,,0,5,2019,3786,True
2140,Teiko.bio,2020-01-01,https://teiko.bio/,"Salt Lake City, Utah, United States","Biotechnology, Data and Analytics, Health Care, Science and Engineering","Biometrics, Biotechnology, Health Care, Health Diagnostics, Life Science, Medical",24026.0,"Teiko.bio is an immune profiling platform that enables clinicians to make informed decisions around patient response. The company was founded in 2020 and is based in Salt Lake City, Utah.",1-10,3.0,Seed,2022-03-29,0.0,Seed,11639995.0,2.0,1-10,Private,,,,,,1,4,2020,2098,True
12001,Hexagon Wireless,2022-01-01,https://www.hexagonwireless.com/,"Miami, Florida, United States","Hardware, Mobile",Wireless,86128.0,Hexagon Wireless is a provider of decentralized wireless technology.,1-10,1.0,Seed,2022-05-19,2000000.0,Seed,2000000.0,,1-10,Private,,,,,,0,2,2022,11583,True
6635,Ribbon,2020-01-01,https://ribbonexperiences.com/,"San Francisco, California, United States","Advertising, Events, Information Technology, Media and Entertainment, Sales and Marketing, Software, Video","Advertising, Events, Information Technology, Marketing, Software, Video",49092.0,"Ribbon is a one-stop-shop online platform for live and recorded events to the next level. It offers tickets to online events and sells recorded content. It aims on making online events easy. It integrates with Zoom, customizes email marketing, and builds an online library. Their Zoom integration automatically creates meetings with unique links and passwords for each event.  It was founded in 2020 and is based in San Francisco, California, United States.",1-10,1.0,Seed,2020-09-10,1200000.0,Seed,1200000.0,2.0,1-10,Private,,,,,,0,4,2020,6478,True
11292,ShareMD,2019-01-01,https://www.sharemd.com/,"Alpharetta, Georgia, United States","Health Care, Information Technology","Health Care, Information Technology, Medical",80784.0,"ShareMD develops and manages technology-enabled healthcare environments that enhance the patient experience and empower physicians to deliver care more efficiently. It is an innovative medical real estate and physician practice solution company that offers increased value to medical practices through flexible and competitive real estate terms, innovative technology and strategies for increased productivity, and optimal patient experience through access to clinic-based ancillary services.",11-50,2.0,,2022-11-03,5000000.0,Venture - Series Unknown,5000000.0,2.0,11-50,Private,,,0.0,3.0,,1,5,2019,10912,True
8356,Morpheus XR,2021-01-01,https://morpheusxr.com,"Boston, Massachusetts, United States","Apps, Hardware, Information Technology, Mobile, Software","Information Technology, Mobile Apps, Virtual Reality",59804.0,,11-50,1.0,Seed,2021-07-01,2200000.0,Pre-Seed,2200000.0,3.0,11-50,Private,,,,,,0,3,2021,8126,True
5469,Curated For You,2022-01-01,https://www.curatedforyou.io/,"Houston, Texas, United States","Commerce and Shopping, Consumer Goods, Hardware, Internet Services, Software","Consumer Goods, E-Commerce, E-Commerce Platforms, Retail, Retail Technology",41972.0,"Curated For You is an e-Commerce platform that offers customer intelligence for online businesses. It focuses on measuring consumer motivations based on social-scientific measurement and theory by utilizing machine vision and natural language processing to accurately predict perceptions. Using the data, the platform provides product recommendations, contextual personalization, curated collection, on-site search, and SEO. Curated For You was founded in 2022 and is headquartered in Houston, Texas.",51-100,2.0,Seed,2023-02-16,2400000.0,Seed,5931942.0,2.0,51-100,Private,,,,,,0,2,2022,5353,True
9438,FloraWorks,2020-01-01,https://flora-works.com,"Milwaukie, Oregon, United States","Biotechnology, Consumer Goods, Other, Sales and Marketing, Science and Engineering","Biotechnology, Consumer, Consumer Goods, Life Science, Sales",67197.0,FloraWorks is a hemp derived cannabinoid manufacturer and supplier. They provide technical biotech enterprises with discovering rare and novel cannabinoids for commercial and therapeutic applications and developing and patenting scaled manufacturing pathways.,1-10,1.0,Early Stage Venture,2022-12-15,2250000.0,Series A,2250000.0,2.0,1-10,Private,,,,,,0,4,2020,9163,True
3009,junolive,2020-01-01,https://www.junolive.com/,"San Diego, California, United States","Community and Lifestyle, Data and Analytics, Events, Information Technology, Media and Entertainment, Software","Analytics, Communities, Events, Information Technology, SaaS, Software",28426.0,"Juno is the service leader of live and on-demand digital platforms born from a history of community-building software. JUNO connects, educates and grows communities daily. Whether event participants engage virtually or in-person, Juno creates transformational experiences and drives results with our engagement, monetization, matchmaking, video streaming and analytics tools. We reduce friction and support business growth with built-in revenue-generating opportunities. JUNO believes in the power of human connection, whether that occurs in-person or in digital space -- or where those two cross in hybrid events. Those intersections of connectivity are where growth, education and inspiration occur.  The best part? Those community members could keep engaging in JUNO year-round.",11-50,2.0,Early Stage Venture,2022-05-26,10000000.0,Series A,13500000.0,1.0,11-50,Private,,,,,,0,4,2020,2954,True
